Adj	Adjective
V-APP-GFP	Verb - Aorist Participle Passive - Genitive Feminine Plural
V-APP-GFS	Verb - Aorist Participle Passive - Genitive Feminine Singular
V-APP-GMP	Verb - Aorist Participle Passive - Genitive Masculine Plural
V-APP-GMS	Verb - Aorist Participle Passive - Genitive Masculine Singular
V-APP-GNP	Verb - Aorist Participle Passive - Genitive Neuter Plural
V-APP-GNS	Verb - Aorist Participle Passive - Genitive Neuter Singular
V-APP-NFP	Verb - Aorist Participle Passive - Nominative Feminine Plural
V-APP-NFS	Verb - Aorist Participle Passive - Nominative Feminine Singular
V-APP-NMP	Verb - Aorist Participle Passive - Nominative Masculine Plural
V-APP-NMS	Verb - Aorist Participle Passive - Nominative Masculine Singular
V-APP-NNP	Verb - Aorist Participle Passive - Nominative Neuter Plural
V-APP-NNS	Verb - Aorist Participle Passive - Nominative Neuter Singular
V-ASA-1P	Verb - Aorist Subjunctive Active - 1st Person Plural
V-ASA-1S	Verb - Aorist Subjunctive Active - 1st Person Singular
V-ASA-2P	Verb - Aorist Subjunctive Active - 2nd Person Plural
V-ASA-2S	Verb - Aorist Subjunctive Active - 2nd Person Singular
V-ASA-3P	Verb - Aorist Subjunctive Active - 3rd Person Plural
V-ASA-3S	Verb - Aorist Subjunctive Active - 3rd Person Singular
V-ASM-1P	Verb - Aorist Subjunctive Middle - 1st Person Plural
V-ASM-1S	Verb - Aorist Subjunctive Middle - 1st Person Singular
V-ASM-2P	Verb - Aorist Subjunctive Middle - 2nd Person Plural
V-ASM-2S	Verb - Aorist Subjunctive Middle - 2nd Person Singular
V-ASM-3P	Verb - Aorist Subjunctive Middle - 3rd Person Plural
V-ASM-3S	Verb - Aorist Subjunctive Middle - 3rd Person Singular
V-ASP-1P	Verb - Aorist Subjunctive Passive - 1st Person Plural
V-ASP-1S	Verb - Aorist Subjunctive Passive - 1st Person Singular
V-ASP-2P	Verb - Aorist Subjunctive Passive - 2nd Person Plural
V-ASP-2S	Verb - Aorist Subjunctive Passive - 2nd Person Singular
V-ASP-3P	Verb - Aorist Subjunctive Passive - 3rd Person Plural
V-ASP-3S	Verb - Aorist Subjunctive Passive - 3rd Person Singular
V-FI-3P	Verb - Future Indicative - 3rd Person Plural
V-FIA-1P	Verb - Future Indicative Active - 1st Person Plural
V-FIA-1S	Verb - Future Indicative Active - 1st Person Singular
